solvent_num_id,comp_num_id,inchi_key,common_name,formula,n_blocks_as_solvent
GLOBsolvent_128,GLOBcomp_8274,YTRIOKYQEVFKGU-UHFFFAOYSA-M,benzyltripropylammonium chloride,C16H28ClN,20
GLOBsolvent_129,GLOBcomp_89,PHTQWCKDNZKARW-UHFFFAOYSA-N,3-methylbutan-1-ol,C5H12O,20
GLOBsolvent_130,GLOBcomp_219,PYMYPHUHKUWMLA-VPENINKCSA-N,D-xylose,C5H10O5,19
GLOBsolvent_131,GLOBcomp_267,GNSKLFRGEWLPPA-UHFFFAOYSA-M,monopotassium phosphate,H2KO4P,19
GLOBsolvent_132,GLOBcomp_291,GZCGUPFRVQAUEE-KCDKBNATSA-N,(+)-galactose,C6H12O6,19
GLOBsolvent_133,GLOBcomp_646,DKXNBNKWCZZMJT-JVCRWLNRSA-N,4-O-.beta.-D-galactopyranosyl-D-glucose,C12H22O11,19
GLOBsolvent_134,GLOBcomp_70,DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,C8H18O,19
GLOBsolvent_135,GLOBcomp_189,POAOYUHQDCAZBD-UHFFFAOYSA-N,2-butoxyethan-1-ol,C6H14O2,18
GLOBsolvent_136,GLOBcomp_55,IXQYBUDWDLYNMA-UHFFFAOYSA-N,1-butyl-3-methylimidazolium hexafluorophosphate,C8H15F6N2P,18
GLOBsolvent_137,GLOBcomp_1016,OETHQSJEHLVLGH-UHFFFAOYSA-N,"N,N-dimethylimidodicarbonimidic diamide hydrochloride",C4H12ClN5,17
GLOBsolvent_138,GLOBcomp_1160,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,amoxicillin,C16H19N3O5S,17
GLOBsolvent_139,GLOBcomp_144,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,aniline,C6H7N,17
GLOBsolvent_140,GLOBcomp_180,XTHFKEDIFFGKHM-UHFFFAOYSA-N,"1,2-dimethoxyethane",C4H10O2,17
GLOBsolvent_141,GLOBcomp_209,YEJRWHAVMIAJKC-UHFFFAOYSA-N,.gamma.-butyrolactone,C4H6O2,17
GLOBsolvent_142,GLOBcomp_222,IOLCXVTUBQKXJR-UHFFFAOYSA-M,potassium bromide,BrK,17
GLOBsolvent_143,GLOBcomp_266,ATJFFYVFTNAWJD-UHFFFAOYSA-N,tin,Sn,17
GLOBsolvent_144,GLOBcomp_355,HNDVDQJCIGZPNO-YFKPBYRVSA-N,L-histidine,C6H9N3O2,17
GLOBsolvent_145,GLOBcomp_468,FFEARJCKVFRZRR-BYPYZUCNSA-N,L-methionine,C5H11NO2S,17
GLOBsolvent_146,GLOBcomp_48,BZLVMXJERCGZMT-UHFFFAOYSA-N,2-methoxy-2-methylpropane,C5H12O,17
GLOBsolvent_147,GLOBcomp_5447,LAMUXTNQCICZQX-UHFFFAOYSA-N,3-chloro-1-propanol,C3H7ClO,17
GLOBsolvent_148,GLOBcomp_689,YMBCJWGVCUEGHA-UHFFFAOYSA-M,tetraethylammonium chloride,C8H20ClN,17
GLOBsolvent_149,GLOBcomp_7112,SSZWWUDQMAHNAQ-UHFFFAOYSA-N,"3-chloro-1,2-propanediol",C3H7ClO2,17
GLOBsolvent_150,GLOBcomp_1037,UEGPKNKPLBYCNK-UHFFFAOYSA-L,magnesium acetate,C4H6MgO4,16
GLOBsolvent_151,GLOBcomp_111,MTHSVFCYNBDYFN-UHFFFAOYSA-N,diethylene glycol,C4H10O3,16
GLOBsolvent_152,GLOBcomp_114,QAOWNCQODCNURD-UHFFFAOYSA-N,sulfuric acid,H2O4S,16
GLOBsolvent_153,GLOBcomp_123,UXVMQQNJUSDDNG-UHFFFAOYSA-L,calcium chloride,CaCl2,16
GLOBsolvent_154,GLOBcomp_165,JHJLBTNAGRQEKS-UHFFFAOYSA-M,sodium bromide,BrNa,16
GLOBsolvent_155,GLOBcomp_184,MKHFCTXNDRMIDR-UHFFFAOYSA-N,1-ethyl-3-methylimidazolium dicyanamide,C8H11N5,16
GLOBsolvent_156,GLOBcomp_310,ITQTTZVARXURQS-UHFFFAOYSA-N,3-methylpyridine,C6H7N,16
GLOBsolvent_157,GLOBcomp_509,NNBZCPXTIHJBJL-MGCOHNPYSA-N,trans-decahydronaphthalene,C10H18,16
GLOBsolvent_158,GLOBcomp_542,NNBZCPXTIHJBJL-AOOOYVTPSA-N,cis-decahydronaphthalene,C10H18,16
GLOBsolvent_159,GLOBcomp_688,YKYOUMDCQGMQQO-UHFFFAOYSA-L,cadmium chloride,CdCl2,16
GLOBsolvent_160,GLOBcomp_1215,SUAKHGWARZSWIH-UHFFFAOYSA-N,"N,N-diethylformamide",C5H11NO,15
GLOBsolvent_161,GLOBcomp_178,HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,C6H12O,15
GLOBsolvent_162,GLOBcomp_1848,OXHNLMTVIGZXSG-UHFFFAOYSA-N,N-methylpyrrole,C5H7N,15
GLOBsolvent_163,GLOBcomp_231,BMQZYMYBQZGEEY-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium chloride,C6H11ClN2,15
GLOBsolvent_164,GLOBcomp_2729,OVBGJNAVGAZRQS-UHFFFAOYSA-M,"1,3-dimethylpyridinium methyl sulfate",C8H13NO4S,15
GLOBsolvent_165,GLOBcomp_29,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methyl-1-propanol,C4H10O,15
GLOBsolvent_166,GLOBcomp_1274,AVKUERGKIZMTKX-UHFFFAOYSA-N,"6-[D-(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",C16H19N3O4S,14
GLOBsolvent_167,GLOBcomp_1290,BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,C6H8N2,14
GLOBsolvent_168,GLOBcomp_185,NKRASMXHSQKLHA-UHFFFAOYSA-M,1-hexyl-3-methylimidazolium chloride,C10H19ClN2,14
GLOBsolvent_169,GLOBcomp_214,BWHMMNNQKKPAPP-UHFFFAOYSA-L,potassium carbonate,CK2O3,14
GLOBsolvent_170,GLOBcomp_263,OWBTYPJTUOEWEK-UHFFFAOYSA-N,"2,3-butanediol",C4H10O2,14
GLOBsolvent_171,GLOBcomp_38,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,hexan-1-ol,C6H14O,14
GLOBsolvent_172,GLOBcomp_5285,KJUGUADJHNHALS-UHFFFAOYSA-N,1H-tetrazole,CH2N4,14
GLOBsolvent_173,GLOBcomp_535,KAESVJOAVNADME-UHFFFAOYSA-N,pyrrole,C4H5N,14
GLOBsolvent_174,GLOBcomp_582,WXSYYJPMDAFVQW-UHFFFAOYSA-N,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,C10H12F6N2O4S2,14
GLOBsolvent_175,GLOBcomp_823,WHGYBXFWUBPSRW-FOUAGVGXSA-N,.beta.-cyclodextrin,C42H70O35,14
GLOBsolvent_176,GLOBcomp_867,HFQQZARZPUDIFP-UHFFFAOYSA-M,sodium dodecylbenzenesulfonate (ILL DEFINED!),C18H29NaO3S,14
GLOBsolvent_177,GLOBcomp_93,XBDQKXXYIPTUBI-UHFFFAOYSA-N,propanoic acid,C3H6O2,14
GLOBsolvent_178,GLOBcomp_1238,WDIHJSXYQDMJHN-UHFFFAOYSA-L,barium chloride,BaCl2,13
GLOBsolvent_179,GLOBcomp_248,NBIIXXVUZAFLBC-UHFFFAOYSA-N,phosphoric acid,H3O4P,13
GLOBsolvent_180,GLOBcomp_2738,OXMIDRBAFOEOQT-OLQVQODUSA-N,"cis-2,5-dimethyltetrahydrofuran",C6H12O,13
GLOBsolvent_181,GLOBcomp_2739,OXMIDRBAFOEOQT-PHDIDXHHSA-N,"trans-2,5-dimethyltetrahydrofuran",C6H12O,13
GLOBsolvent_182,GLOBcomp_281,IIPYXGDZVMZOAP-UHFFFAOYSA-N,lithium nitrate,LiNO3,13
GLOBsolvent_183,GLOBcomp_489,YWYZEGXAUVWDED-UHFFFAOYSA-N,"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",C6H17N3O7,13
GLOBsolvent_184,GLOBcomp_517,URVSXZLUUCVGQM-UHFFFAOYSA-M,1-methyl-3-octylimidazolium bromide,C12H23BrN2,13
GLOBsolvent_185,GLOBcomp_1137,IWOUKMZUPDVPGQ-UHFFFAOYSA-N,barium dinitrate,BaN2O6,12
GLOBsolvent_186,GLOBcomp_1187,PJJJBBJSCAKJQF-UHFFFAOYSA-N,guanidine hydrochloride,CH6ClN3,12
GLOBsolvent_187,GLOBcomp_201,YMAWOPBAYDPSLA-UHFFFAOYSA-N,glycylglycine,C4H8N2O3,12
GLOBsolvent_188,GLOBcomp_2160,BYCHYJSDSHOWIP-UHFFFAOYSA-N,tetrabutylphosphonium tetrafluoroborate,C16H36BF4P,12
GLOBsolvent_189,GLOBcomp_2248,DZXZZHACKCXJRR-UHFFFAOYSA-M,tetrabutylammonium dodecyl sulfate,C28H61NO4S,12
GLOBsolvent_190,GLOBcomp_339,JOOXCMJARBKPKM-UHFFFAOYSA-N,4-oxopentanoic acid,C5H8O3,12
GLOBsolvent_191,GLOBcomp_39,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,butanone,C4H8O,12
GLOBsolvent_192,GLOBcomp_49,OFBQJSOFQDEBGM-UHFFFAOYSA-N,pentane,C5H12,12
GLOBsolvent_193,GLOBcomp_492,BAZAXWOYCMUHIX-UHFFFAOYSA-M,sodium perchlorate,ClNaO4,12
GLOBsolvent_194,GLOBcomp_573,PXFKRXXEFJDOMO-UHFFFAOYSA-M,1-pentyl-3-methylimidazolium bromide,C9H17BrN2,12
GLOBsolvent_195,GLOBcomp_605,LSEFCHWGJNHZNT-UHFFFAOYSA-M,methyltriphenylphosphonium bromide,C19H18BrP,12
GLOBsolvent_196,GLOBcomp_6629,QTENRWWVYAAPBI-YCRXJPFRSA-N,Streptomycin sulfate,C42H84N14O36S3,12
GLOBsolvent_197,GLOBcomp_71,DCAYPVUWAIABOU-UHFFFAOYSA-N,hexadecane,C16H34,12
