lit_num_id,doi,lit_id,first_author,year,journal,n_compounds,n_blocks,total_datapoints
GLOBlit_96,10.1007/s10765-010-0736-6,2010-kha--0,"Kharat, S. J.[Sanjeevan J.]",2010,Int. J. Thermophys.,3,4,56
GLOBlit_97,10.1007/s10765-010-0737-5,2010-mon-gue-0,"Montano, D.",2010,Int. J. Thermophys.,5,18,797
GLOBlit_98,10.1007/s10765-010-0742-8,2010-ali-pat-0,"Ali, A.[Anwar]",2010,Int. J. Thermophys.,6,15,290
GLOBlit_99,10.1007/s10765-010-0752-6,2010-roy-das-0,"Roy, M. N.[Mahendra Nath]",2010,Int. J. Thermophys.,7,51,352
GLOBlit_100,10.1007/s10765-010-0760-6,2010-vog--0,"Vogel, E.",2010,Int. J. Thermophys.,1,1,49
GLOBlit_101,10.1007/s10765-010-0766-0,2010-mat-kag-0,"Matsuguchi, A.",2010,Int. J. Thermophys.,3,4,1288
GLOBlit_102,10.1007/s10765-010-0768-y,2010-nai-sha-0,"Nain, A. K.[Anil Kumar]",2010,Int. J. Thermophys.,7,13,679
GLOBlit_103,10.1007/s10765-010-0773-1,2011-prz-cho-0,"Przybyla, A.[Anna]",2011,Int. J. Thermophys.,2,4,148
GLOBlit_104,10.1007/s10765-010-0792-y,2011-ser-mar-0,"Serwicka, K.[Kamila]",2011,Int. J. Thermophys.,6,5,42
GLOBlit_105,10.1007/s10765-010-0860-3,2010-wan-wan-1,"Wankhede, D. S.",2010,Int. J. Thermophys.,4,14,294
GLOBlit_106,10.1007/s10765-010-0861-2,2010-yad-sha-1,"Yadav, J. S.[Jaibir S.]",2010,Int. J. Thermophys.,4,14,157
GLOBlit_107,10.1007/s10765-010-0862-1,2010-raj-jay-2,"Rajagopal, K.",2010,Int. J. Thermophys.,3,8,198
GLOBlit_108,10.1007/s10765-010-0874-x,2010-bha-bha-3,"Bhatia, S. C.[Subhash C.]",2010,Int. J. Thermophys.,4,14,208
GLOBlit_109,10.1007/s10765-010-0885-7,2010-kan-kay-0,"Kano, Y.[Yuya]",2010,Int. J. Thermophys.,1,1,41
GLOBlit_110,10.1007/s10765-010-0886-6,2010-sta-kha-0,"Stankus, S. V.",2010,Int. J. Thermophys.,1,3,27
GLOBlit_111,10.1007/s10765-010-0887-5,2010-dan-di-1,"Dan, W.-Y.[Wen-Yan]",2010,Int. J. Thermophys.,9,5,130
GLOBlit_112,10.1007/s10765-010-0889-3,2010-fro-rau-0,"Froba, A. P.[Andreas P.]",2010,Int. J. Thermophys.,10,16,157
GLOBlit_113,10.1007/s10765-010-0902-x,2011-ilo-kha-0,"Iloukhani, H.",2011,Int. J. Thermophys.,6,27,248
GLOBlit_114,10.1007/s10765-010-0904-8,2011-yam-sum-0,"Yamamoto, H.[Hideki]",2011,Int. J. Thermophys.,6,12,64
GLOBlit_115,10.1007/s10765-011-0939-5,2011-hil-fah-0,"hill, K. D.",2011,Int. J. Thermophys.,2,2,2
GLOBlit_116,10.1007/s10765-011-0948-4,2011-pol-abd-0,"Polikhronidi, N. G.",2011,Int. J. Thermophys.,1,10,66
GLOBlit_117,10.1007/s10765-011-0978-y,2011-lae-bai-0,"Laesecke, A.[Arno]",2011,Int. J. Thermophys.,1,1,59
GLOBlit_118,10.1007/s10765-011-0987-x,2011-li-zha-3,"Li, Z. X.",2011,Int. J. Thermophys.,2,1,1
GLOBlit_119,10.1007/s10765-011-0989-8,2011-wan-tia-0,"Wang, L. -S.[Li-Sheng]",2011,Int. J. Thermophys.,3,10,350
GLOBlit_120,10.1007/s10765-011-0995-x,2011-bha-ran-4,"Bhatia, S. C.[Subhash C.]",2011,Int. J. Thermophys.,4,28,624
GLOBlit_121,10.1007/s10765-011-0996-9,2011-riy-alt-0,Riyazuddeen,2011,Int. J. Thermophys.,7,10,408
GLOBlit_122,10.1007/s10765-011-0997-8,2011-siw-dim-0,"Siwach, R. K.[Rajesh K.]",2011,Int. J. Thermophys.,5,15,140
GLOBlit_123,10.1007/s10765-011-0999-6,2011-yus-nag-0,"Yusibani, E.[Elin]",2011,Int. J. Thermophys.,2,2,49
GLOBlit_124,10.1007/s10765-011-1052-5,2011-mor-woo-0,"Moroe, S.",2011,Int. J. Thermophys.,2,2,319
GLOBlit_125,10.1007/s10765-011-1060-5,2011-sin-sar-0,"Sinha, B.[Biswajit]",2011,Int. J. Thermophys.,3,2,144
GLOBlit_126,10.1007/s10765-011-1065-0,2011-mur-sha-1,"Murshid, G.[Ghulam]",2011,Int. J. Thermophys.,2,4,140
GLOBlit_127,10.1007/s10765-011-1086-8,2011-sen-cho-1,"Sengwa, R. J.",2011,Int. J. Thermophys.,7,17,164
GLOBlit_128,10.1007/s10765-011-1087-7,2011-bha-san-1,"Bhatia, S. C.[Subhash C.]",2011,Int. J. Thermophys.,4,28,591
GLOBlit_129,10.1007/s10765-011-1100-1,2012-mar-ada-0,"Marczak, W.",2012,Int. J. Thermophys.,4,9,159
