quantity_key,preferred_name,component_linked,available_roles,role_count,translation_status,equivalence_basis,prop_num_id,prop_name,prop_group,var_num_id,var_name,var_type_key,constr_num_id,constr_name,constr_type_key
henrys_law_constant_mole_fraction_scale_kpa_{DOIcomp_id},"Henry's Law constant (mole fraction scale), kPa",1,property,1,single_role,exact_canonical_template,GLOBprop_27,"Henry's Law constant (mole fraction scale), kPa",CompositionAtPhaseEquilibrium,,,,,,
initial_mass_fraction_of_solute,Initial mass fraction of solute,0,variable,1,single_role,exact_canonical_template,,,,GLOBvar_32,Initial mass fraction of solute,eComponentComposition,,,
initial_molality_of_solute_mol_kg,"Initial molality of solute, mol/kg",0,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_13,"Initial molality of solute, mol/kg",eComponentComposition,GLOBconstr_14,"Initial molality of solute, mol/kg",eComponentComposition
initial_mole_fraction_of_solute,Initial mole fraction of solute,0,variable,1,single_role,exact_canonical_template,,,,GLOBvar_33,Initial mole fraction of solute,eComponentComposition,,,
interfacial_tension_n_m,"Interfacial tension, N/m",0,property,1,single_role,exact_canonical_template,GLOBprop_49,"Interfacial tension, N/m",RefractionSurfaceTensionSoundSpeed,,,,,,
isobaric_coefficient_of_expansion_1_k,"Isobaric coefficient of expansion, 1/K",0,property,1,single_role,exact_canonical_template,GLOBprop_59,"Isobaric coefficient of expansion, 1/K",VolumetricProp,,,,,,
isothermal_compressibility_1_kpa,"Isothermal compressibility, 1/kPa",0,property,1,single_role,exact_canonical_template,GLOBprop_91,"Isothermal compressibility, 1/kPa",VolumetricProp,,,,,,
joulethomson_coefficient_k_kpa,"Joule-Thomson coefficient, K/kPa",0,property,1,single_role,exact_canonical_template,GLOBprop_100,"Joule-Thomson coefficient, K/kPa",HeatCapacityAndDerivedProp,,,,,,
kinematic_viscosity_m2_s,"Kinematic viscosity, m2/s",0,property,1,single_role,exact_canonical_template,GLOBprop_40,"Kinematic viscosity, m2/s",TransportProp,,,,,,
liquidliquid_equilibrium_temperature_k,"Liquid-liquid equilibrium temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_20,"Liquid-liquid equilibrium temperature, K",PhaseTransition,,,,,,
lower_consolute_composition_mass_fraction_{DOIcomp_id},Lower consolute composition: mass fraction,1,property,1,single_role,exact_canonical_template,GLOBprop_109,Lower consolute composition: mass fraction,CompositionAtPhaseEquilibrium,,,,,,
lower_consolute_composition_mole_fraction_{DOIcomp_id},Lower consolute composition: mole fraction,1,property,1,single_role,exact_canonical_template,GLOBprop_99,Lower consolute composition: mole fraction,CompositionAtPhaseEquilibrium,,,,,,
lower_consolute_pressure_kpa,"Lower consolute pressure, kPa",0,property,1,single_role,exact_canonical_template,GLOBprop_105,"Lower consolute pressure, kPa",Criticals,,,,,,
lower_consolute_temperature_k,"Lower consolute temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_92,"Lower consolute temperature, K",Criticals,,,,,,
