meas_num_id,meas_id,method_name,method_type,n_blocks,n_aliases
GLOBmeas_118,closed_cup_calorimetry,Closed cup calorimetry ,standard,4,1
GLOBmeas_119,gamma_attenuation_method,Gamma attenuation method,standard,4,1
GLOBmeas_120,expansion_technique,Expansion technique,standard,3,1
GLOBmeas_121,extrapolated_vapor_pressure,Extrapolated vapor pressure,standard,3,1
GLOBmeas_122,photoacoustic_method,Photoacoustic method,standard,3,1
GLOBmeas_123,static_equilibration,Static equilibration,standard,3,1
GLOBmeas_124,vibrating_wire_densiometer,Vibrating wire densiometer,standard,3,1
GLOBmeas_125,draining_crucible,Draining crucible,standard,2,1
GLOBmeas_126,dipping_refractometry_monochromatic,Dipping refractometry (monochromatic),standard,1,1
GLOBmeas_127,flame_calorimetry,Flame calorimetry,standard,1,1
GLOBmeas_128,multiple_path_length_method,Multiple path-length method,standard,1,1
GLOBmeas_129,oscillating_viscometer,Oscillating viscometer,standard,1,1
GLOBmeas_130,dta,DTA,custom,4061,4
GLOBmeas_131,titration_method,Titration method,custom,3736,3
GLOBmeas_132,dsc,DSC,custom,3437,1
GLOBmeas_133,closed_cell_static_method,Closed cell (Static) method,custom,2834,2
GLOBmeas_134,vibtub_ufactor_4,VIBTUB:UFactor:4,custom,2024,2
GLOBmeas_135,visobs,VISOBS,custom,1971,1
GLOBmeas_136,gravimetric,gravimetric,custom,1778,3
GLOBmeas_137,other,OTHER,custom,1465,2
GLOBmeas_138,vibtub_ufactor_2,VIBTUB:UFactor:2,custom,850,2
GLOBmeas_139,gravimetric_method,gravimetric method,custom,798,5
GLOBmeas_140,captub_ufactor_2,CAPTUB:UFactor:2,custom,757,2
GLOBmeas_141,vibtub_ufactor_8,VIBTUB:UFactor:8,custom,642,2
GLOBmeas_142,captub_ufactor_4,CAPTUB:UFactor:4,custom,606,2
GLOBmeas_143,vibtub_ufactor_6,VIBTUB:UFactor:6,custom,601,2
GLOBmeas_144,isoperibol,ISOPERIBOL,custom,552,3
GLOBmeas_145,chrom_ufactor_4,CHROM:UFactor:4,custom,507,1
GLOBmeas_146,ebullio_ufactor_8,EBULLIO:UFactor:8,custom,402,2
GLOBmeas_147,vibtub_ufactor_16,VIBTUB:UFactor:16,custom,385,2
GLOBmeas_148,calculated_from_knudsen_effusion_weight_loss,Calculated from knudsen effusion weight loss,custom,358,1
GLOBmeas_149,chrom_ufactor_2,CHROM:UFactor:2,custom,355,1
GLOBmeas_150,chrom_ufactor_8,CHROM:UFactor:8,custom,347,2
GLOBmeas_151,spectr,SPECTR,custom,343,1
GLOBmeas_152,volumetric_method,volumetric method,custom,299,5
GLOBmeas_153,pycnom_ufactor_4,PYCNOM:UFactor:4,custom,291,2
GLOBmeas_154,visobs_ufactor_4,VISOBS:UFactor:4,custom,279,2
GLOBmeas_155,ebullio_ufactor_4,EBULLIO:UFactor:4,custom,266,2
GLOBmeas_156,dta_corrimp,DTA:corrimp,custom,259,1
GLOBmeas_157,abbe_ufactor_2,ABBE:UFactor:2,custom,256,2
GLOBmeas_158,titration,titration,custom,254,3
GLOBmeas_159,ebullio_ufactor_2,EBULLIO:UFactor:2,custom,248,2
GLOBmeas_160,visual,visual,custom,238,3
GLOBmeas_161,ccell_ufactor_8,CCELL:UFactor:8,custom,232,2
GLOBmeas_162,uv_spectroscopy,UV spectroscopy,custom,229,4
GLOBmeas_163,abbe_ufactor_4,ABBE:UFactor:4,custom,227,2
GLOBmeas_164,ccell_ufactor_2,CCELL:UFactor:2,custom,221,2
GLOBmeas_165,captub_ufactor_8,CAPTUB:UFactor:8,custom,208,2
GLOBmeas_166,isopie,ISOPIE,custom,208,1
GLOBmeas_167,pycnom_ufactor_8,PYCNOM:UFactor:8,custom,200,2
GLOBmeas_168,vadiac_ufactor_2,VADIAC:UFactor:2,custom,195,1
GLOBmeas_169,calvet_ufactor_2,CALVET:UFactor:2,custom,187,1
GLOBmeas_170,isochor,ISOCHOR,custom,182,1
GLOBmeas_171,ccell_ufactor_4,CCELL:UFactor:4,custom,172,2
GLOBmeas_172,spectroscopy,spectroscopy,custom,171,2
