comp_num_id,comp_id,inchi_key,common_name,formula,smiles,standard_inchi,n_papers
GLOBcomp_4784,"1,2-dimethyl-5-nitroimidazole",IBXPYPUJPLLOIN-UHFFFAOYSA-N,"1,2-dimethyl-5-nitroimidazole",C5H7N3O2,Cc1ncc([N+](=O)[O-])n1C,"InChI=1S/C5H7N3O2/c1-4-6-3-5(7(4)2)8(9)10/h3H,1-2H3",1
GLOBcomp_4785,cesium_tetrafluoroborate,IBXRQPOVBVBECX-UHFFFAOYSA-N,cesium tetrafluoroborate,BCsF4,F[B-](F)(F)F.[Cs+],"InChI=1S/BF4.Cs/c2-1(3,4)5;/q-1;+1",1
GLOBcomp_4786,"(2'-hydroxy-[1,1'-biphenyl]-2-yl)phosphinic_acid",ICAHILARRLJFNV-UHFFFAOYSA-N,"(2'-hydroxy-[1,1'-biphenyl]-2-yl)phosphinic acid",C12H11O3P,O=[PH](O)c1ccccc1-c1ccccc1O,"InChI=1S/C12H11O3P/c13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)16(14)15/h1-8,13,16H,(H,14,15)",1
GLOBcomp_4787,1-butyl-1h-benzimidazolium_bis((trifluoromethyl)sulfonyl)amide,ICBOYXJHZXPVNE-UHFFFAOYSA-O,1-butyl-1H-benzimidazolium bis((trifluoromethyl)sulfonyl)amide,C13H15F6N3O4S2,CCCCn1c[nH+]c2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"InChI=1S/C11H14N2.C2F6NO4S2/c1-2-3-8-13-9-12-10-6-4-5-7-11(10)13;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h4-7,9H,2-3,8H2,1H3;/q;-1/p+1",1
GLOBcomp_4788,"nickel,_dibromobis(pyridine)-",ICDWMUCCMDLFQZ-UHFFFAOYSA-L,"nickel, dibromobis(pyridine)-",C10H10Br2N2Ni,[Br-].[Br-].[Ni+2].c1ccncc1.c1ccncc1,InChI=1S/2C5H5N.2BrH.Ni/c2*1-2-4-6-5-3-1;;;/h2*1-5H;2*1H;/q;;;;+2/p-2,1
GLOBcomp_4789,n-(2-phenylethyl)imidodicarbonimidic_diamide,ICFJFFQQTFMIBG-UHFFFAOYSA-N,N-(2-phenylethyl)imidodicarbonimidic diamide,C10H15N5,N=C(N)NC(=N)NCCc1ccccc1,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)",1
GLOBcomp_4790,iodic_acid,ICIWUVCWSCSTAQ-UHFFFAOYSA-N,iodic acid,HIO3,[O-][I+2]([O-])O,"InChI=1S/HIO3/c2-1(3)4/h(H,2,3,4)",1
GLOBcomp_4791,"2,4-di-tert-butylphenol",ICKWICRCANNIBI-UHFFFAOYSA-N,"2,4-di-tert-butylphenol",C14H22O,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",1
GLOBcomp_4792,samarium_bromide,ICKYUJFKBKOPJT-UHFFFAOYSA-K,samarium bromide,Br3Sm,[Br-].[Br-].[Br-].[Sm+3],InChI=1S/3BrH.Sm/h3*1H;/q;;;+3/p-3,1
GLOBcomp_4793,"1-ethyl-3,5-dimethyl-2-pentylpyridinium_bis(trifluoromethylsulfonyl)imide",ICQMBVKVYHSQHM-UHFFFAOYSA-N,"1-ethyl-3,5-dimethyl-2-pentylpyridinium bis(trifluoromethylsulfonyl)imide",C16H24F6N2O4S2,CCCCCc1c(C)cc(C)c[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"InChI=1S/C14H24N.C2F6NO4S2/c1-5-7-8-9-14-13(4)10-12(3)11-15(14)6-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h10-11H,5-9H2,1-4H3;/q+1;-1",1
